CASO,EDAD,GENERO,GENERO,VINCULO,PROVINCIA,ID PROVINCIA,MODALIDAD,FECHA
31,41,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2014-07-23
87,15,MUJER,0,PRINCIPAL,Buenos Aires,0,,2014-07-23
45,47,MUJER,0,PRINCIPAL,Salta,16,GOLPES,2014-07-25
382,26,MUJER,0,PRINCIPAL,Salta,16,DISPARO DE BALA,2014-07-28
115,38,,3,PRINCIPAL,Entre Ríos,7,ACUCHILLAMIENTO,2014-07-31
224,23,MUJER,0,PRINCIPAL,Mendoza,12,GOLPES,2014-08-03
513,19,MUJER,0,PRINCIPAL,,,DISPARO DE BALA,2014-08-06
300,50,MUJER,0,PRINCIPAL,Santiago del Estero,21,ACUCHILLAMIENTO,2014-08-10
388,59,MUJER,0,PRINCIPAL,Mendoza,12,GOLPES,2014-08-11
4,26,MUJER,0,PRINCIPAL,Santiago del Estero,21,DISPARO DE BALA,2014-08-13
8,45,MUJER,0,PRINCIPAL,Mendoza,12,DISPARO DE BALA,2014-08-14
257,21,MUJER,0,PRINCIPAL,,,ACUCHILLAMIENTO,2014-08-14
129,44,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2014-08-14
332,58,MUJER,0,VINCULADO,Buenos Aires,0,APUÑALAMIENTO,2014-08-15
332,83,MUJER,0,VINCULADO,Buenos Aires,0,APUÑALAMIENTO,2014-08-15
331,28,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2014-08-16
211,24,MUJER,0,PRINCIPAL,,,OTROS,2014-08-17
324,27,MUJER,0,PRINCIPAL,La Pampa,10,GOLPES,2014-08-19
247,14,MUJER,0,PRINCIPAL,,,ESTRANGULAMIENTO,2014-08-21
486,3,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2014-08-21
7,16,MUJER,0,PRINCIPAL,Buenos Aires,0,ASFIXIA,2014-08-23
302,25,MUJER,0,PRINCIPAL,Ciudad Autónoma de Bs.As.,4,ACUCHILLAMIENTO,2014-09-03
9,7,MUJER,0,VINCULADO,Buenos Aires,0,ACUCHILLAMIENTO,2014-09-04
35,32,MUJER,0,PRINCIPAL,Corrientes,6,,2014-09-06
404,43,MUJER,0,PRINCIPAL,,,OTROS,2014-09-06
51,38,MUJER,0,PRINCIPAL,Salta,16,GOLPES,2014-09-08
267,18,MUJER,0,PRINCIPAL,Chaco,2,ACUCHILLAMIENTO,2014-09-08
50,17,MUJER,0,PRINCIPAL,,,,2014-09-09
20,34,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2014-09-13
333,13,MUJER,0,PRINCIPAL,,,ESTRANGULAMIENTO,2014-09-17
21,36,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2014-09-21
234,19,MUJER,0,PRINCIPAL,Río Negro,15,GOLPES,2014-09-21
40,44,MUJER,0,VINCULADO,Mendoza,12,DISPARO DE BALA,2014-09-21
337,38,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2014-09-25
6,39,MUJER,0,PRINCIPAL,Buenos Aires,0,,2014-09-25
49,38,MUJER,0,PRINCIPAL,Tucumán,23,,2014-09-30
19,33,MUJER,0,PRINCIPAL,Chaco,2,ACUCHILLAMIENTO,2014-10-09
322,29,MUJER,0,PRINCIPAL,Ciudad Autónoma de Bs.As.,4,DISPARO DE BALA,2014-10-09
269,43,MUJER,0,PRINCIPAL,Chaco,2,DISPARO DE BALA,2014-10-11
973,29,MUJER,0,PRINCIPAL,Santa Fe,20,DISPARO DE BALA,2014-10-11
270,22,MUJER,0,PRINCIPAL,Chaco,2,DISPARO DE BALA,2014-10-13
217,24,MUJER,0,PRINCIPAL,Misiones,13,ASFIXIA,2014-10-18
27,33,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2014-10-20
38,22,MUJER,0,PRINCIPAL,Entre Ríos,7,GOLPES,2014-10-24
218,14,,3,PRINCIPAL,Río Negro,15,ESTRANGULAMIENTO,2014-10-24
256,48,MUJER,0,PRINCIPAL,Santa Cruz,19,ASFIXIA,2014-10-25
493,48,MUJER,0,PRINCIPAL,Buenos Aires,0,DEGOLLAMIENTO,2014-10-28
237,18,MUJER,0,PRINCIPAL,Santa Fe,20,DISPARO DE BALA,2014-11-02
116,32,MUJER,0,PRINCIPAL,Entre Ríos,7,,2014-11-02
120,23,MUJER,0,PRINCIPAL,Santa Fe,20,,2014-11-04
490,36,TRANSGENERO,3,PRINCIPAL,Buenos Aires,0,GOLPES,2014-11-06
118,20,MUJER,0,PRINCIPAL,Salta,16,ASFIXIA,2014-11-08
219,23,MUJER,0,PRINCIPAL,Misiones,13,DISPARO DE BALA,2014-11-08
311,40,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2014-11-14
1310,33,MUJER,0,PRINCIPAL,Ciudad Autónoma de Bs.As.,4,DISPARO DE BALA,2014-11-14
151,16,MUJER,0,PRINCIPAL,Buenos Aires,0,ASFIXIA,2014-11-16
1046,38,MUJER,0,PRINCIPAL,Tucumán,23,DISPARO DE BALA,2014-11-16
310,47,MUJER,0,PRINCIPAL,Río Negro,15,GOLPES,2014-11-20
125,48,MUJER,0,PRINCIPAL,Chubut,3,DISPARO DE BALA,2014-11-23
126,17,MUJER,0,VINCULADO,Chubut,3,DISPARO DE BALA,2014-11-23
491,55,TRANSGENERO,3,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2014-11-25
418,37,MUJER,0,VINCULADO,Buenos Aires,0,,2014-11-26
418,61,MUJER,0,PRINCIPAL,Buenos Aires,0,,2014-11-26
387,39,,3,PRINCIPAL,Mendoza,12,GOLPES,2014-11-28
345,64,MUJER,0,PRINCIPAL,Salta,16,GOLPES,2014-11-30
30,40,MUJER,0,PRINCIPAL,Córdoba,5,,2014-12-02
492,24,TRANSGENERO,3,PRINCIPAL,Santiago del Estero,21,ATROPELLAMIENTO,2014-12-03
148,35,MUJER,0,PRINCIPAL,Salta,16,ACUCHILLAMIENTO,2014-12-04
239,34,MUJER,0,PRINCIPAL,Salta,16,ACUCHILLAMIENTO,2014-12-04
349,22,MUJER,0,PRINCIPAL,Santa Fe,20,ESTRANGULAMIENTO,2014-12-06
338,40,MUJER,0,PRINCIPAL,San Luis,18,ACUCHILLAMIENTO,2014-12-07
508,19,MUJER,0,PRINCIPAL,Salta,16,ACUCHILLAMIENTO,2014-12-07
314,18,MUJER,0,PRINCIPAL,,,ASFIXIA,2014-12-09
22,33,MUJER,0,PRINCIPAL,Córdoba,5,,2014-12-11
181,41,,3,PRINCIPAL,Santa Fe,20,QUEMADURAS,2014-12-12
336,40,MUJER,0,PRINCIPAL,Corrientes,6,DISPARO DE BALA,2014-12-13
325,55,MUJER,0,PRINCIPAL,La Pampa,10,DISPARO DE BALA,2014-12-14
221,44,MUJER,0,PRINCIPAL,Misiones,13,ACUCHILLAMIENTO,2014-12-18
403,24,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2014-12-20
397,25,MUJER,0,PRINCIPAL,Santa Fe,20,DISPARO DE BALA,2014-12-22
